epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.189,1.29274,1.43834,1.38444,0.385,0.31672,0.23189,0.11895,2.16367,3.34884,2.1289,0.000413105,0.000413105,0.000413105
2,197.374,1.33419,1.2238,1.38517,0.31915,0.35325,0.33934,0.18372,1.7217,3.07208,1.80703,0.000813343,0.000813343,0.000813343
3,290.895,1.32456,1.22006,1.37306,0.52292,0.43887,0.34169,0.20873,1.58041,2.25511,1.60749,0.00119708,0.00119708,0.00119708
4,384.325,1.27247,1.15776,1.3352,0.83375,0.39807,0.5065,0.26632,1.53989,1.6119,1.51339,0.00117575,0.00117575,0.00117575
5,477.056,1.23091,1.07602,1.30076,0.60665,0.49211,0.57775,0.35296,1.33303,1.23983,1.34987,0.001151,0.001151,0.001151
6,575.372,1.17786,1.01247,1.28441,0.70204,0.56574,0.56891,0.34011,1.38821,1.28338,1.3851,0.00112625,0.00112625,0.00112625
7,665.883,1.14168,0.98998,1.26466,0.87687,0.60688,0.65771,0.41526,1.14781,1.0071,1.19235,0.0011015,0.0011015,0.0011015
8,756.411,1.09982,0.94685,1.22555,0.63829,0.64211,0.69316,0.44254,1.13183,0.9259,1.17551,0.00107675,0.00107675,0.00107675
9,850.02,1.09386,0.93239,1.21992,0.73403,0.66262,0.64307,0.41387,1.13517,0.98618,1.17796,0.001052,0.001052,0.001052
10,942.336,1.06874,0.89603,1.21051,0.72758,0.6742,0.7098,0.45588,1.09998,0.87336,1.16778,0.00102725,0.00102725,0.00102725
11,1035.05,1.06467,0.88376,1.20476,0.75539,0.64913,0.69107,0.47569,1.09763,0.93961,1.14132,0.0010025,0.0010025,0.0010025
12,1130.83,1.04154,0.87069,1.18964,0.89323,0.65456,0.69028,0.4641,1.06978,0.86251,1.13359,0.00097775,0.00097775,0.00097775
13,1221.81,1.0233,0.84988,1.18321,0.80017,0.71332,0.72798,0.49019,1.01281,0.85109,1.1033,0.000953,0.000953,0.000953
14,1314.52,1.0224,0.83237,1.18243,0.78337,0.67997,0.71559,0.49528,1.04546,0.80474,1.10503,0.00092825,0.00092825,0.00092825
15,1405.37,1.0029,0.79806,1.16649,0.73503,0.67152,0.73974,0.50892,0.98609,0.77461,1.06533,0.0009035,0.0009035,0.0009035
16,1497.44,0.97566,0.78898,1.15102,0.70019,0.74665,0.74288,0.50542,1.01661,0.77242,1.08512,0.00087875,0.00087875,0.00087875
17,1590.01,0.96419,0.77739,1.14085,0.7413,0.71015,0.7387,0.51025,1.01293,0.76563,1.09822,0.000854,0.000854,0.000854
18,1682.08,0.95358,0.76986,1.1476,0.80372,0.72851,0.76611,0.53653,1.01232,0.7267,1.08554,0.00082925,0.00082925,0.00082925
19,1777.12,0.93707,0.74332,1.13589,0.91035,0.71474,0.76537,0.53475,0.99126,0.72223,1.07233,0.0008045,0.0008045,0.0008045
20,1867.15,0.93077,0.74033,1.13559,0.70331,0.7638,0.75132,0.52917,0.98307,0.74272,1.09105,0.00077975,0.00077975,0.00077975
21,1956.76,0.93207,0.73445,1.13338,0.73388,0.73627,0.76288,0.53999,0.99093,0.76874,1.07618,0.000755,0.000755,0.000755
22,2049.63,0.91199,0.72381,1.1189,0.73402,0.77051,0.77116,0.54835,0.96569,0.71484,1.06142,0.00073025,0.00073025,0.00073025
23,2141.88,0.9164,0.70735,1.10635,0.81775,0.7423,0.77895,0.55001,0.96995,0.71947,1.06892,0.0007055,0.0007055,0.0007055
24,2234.01,0.89384,0.68985,1.11168,0.69167,0.78076,0.78794,0.55748,0.9703,0.6822,1.05209,0.00068075,0.00068075,0.00068075
25,2327.22,0.8873,0.6813,1.10143,0.74478,0.77603,0.78572,0.5586,0.94884,0.67349,1.05595,0.000656,0.000656,0.000656
26,2421.73,0.89405,0.68827,1.10362,0.71545,0.78423,0.78134,0.56209,0.93796,0.67346,1.04369,0.00063125,0.00063125,0.00063125
27,2514.87,0.8802,0.67401,1.09125,0.69957,0.77971,0.78942,0.55947,0.93436,0.65857,1.03233,0.0006065,0.0006065,0.0006065
28,2604.96,0.84967,0.65436,1.0788,0.77725,0.78222,0.79155,0.54829,0.93286,0.67585,1.04065,0.00058175,0.00058175,0.00058175
29,2695.16,0.83498,0.63344,1.0751,0.74291,0.805,0.80952,0.57153,0.92827,0.64466,1.0353,0.000557,0.000557,0.000557
30,2787.55,0.84037,0.63437,1.08132,0.74363,0.7973,0.80329,0.57743,0.91659,0.646,1.02156,0.00053225,0.00053225,0.00053225
31,2879.72,0.8476,0.63752,1.08532,0.79188,0.7824,0.80155,0.58605,0.90695,0.64092,1.02741,0.0005075,0.0005075,0.0005075
32,2972.44,0.82028,0.6083,1.069,0.8236,0.79828,0.82664,0.59271,0.9105,0.63292,1.03707,0.00048275,0.00048275,0.00048275
33,3067.14,0.82536,0.61715,1.07139,0.81138,0.79683,0.82013,0.59285,0.89225,0.61765,1.01568,0.000458,0.000458,0.000458
34,3160.05,0.79601,0.58718,1.05228,0.79508,0.80059,0.81312,0.5838,0.88206,0.61285,1.00919,0.00043325,0.00043325,0.00043325
35,3250.18,0.8132,0.59377,1.05835,0.85503,0.77421,0.81592,0.58751,0.91074,0.63865,1.02381,0.0004085,0.0004085,0.0004085
36,3341.75,0.79181,0.57824,1.04935,0.88237,0.78094,0.8286,0.59345,0.89886,0.5948,1.02426,0.00038375,0.00038375,0.00038375
37,3433.93,0.78106,0.56276,1.03613,0.84102,0.79171,0.83762,0.60681,0.8769,0.59563,1.01803,0.000359,0.000359,0.000359
38,3528.51,0.76851,0.56366,1.04531,0.83532,0.78111,0.83089,0.60958,0.87061,0.6024,1.01387,0.00033425,0.00033425,0.00033425
39,3622.01,0.76788,0.55808,1.04239,0.82972,0.784,0.8255,0.6057,0.87734,0.60433,1.01528,0.0003095,0.0003095,0.0003095
40,3714.76,0.76912,0.55541,1.04158,0.8096,0.80626,0.82675,0.61028,0.88497,0.60844,1.01376,0.00028475,0.00028475,0.00028475
41,3817.18,0.77808,0.54283,1.03061,0.83261,0.82352,0.84364,0.61519,0.88409,0.5863,1.01548,0.00026,0.00026,0.00026
42,3908.54,0.76233,0.52311,1.02249,0.81269,0.81004,0.82965,0.60865,0.88321,0.59896,1.01767,0.00023525,0.00023525,0.00023525
